is_male,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Policy_Sales_Channel,Vintage,Annual_Premium,claim
1,44,1,28,0,24,1,26,217,40454,1
1,76,1,3,0,6,0,26,183,33536,0
1,47,1,28,0,24,1,26,27,38294,1
1,21,1,11,1,12,0,152,203,28619,0
0,29,1,41,1,12,0,152,39,27496,0
0,24,1,33,0,12,1,160,176,2630,0
1,23,1,11,0,12,1,152,249,23367,0
0,56,1,28,0,6,1,26,72,32031,1
0,24,1,3,1,12,0,152,28,27619,0
0,32,1,6,1,12,0,152,80,28771,0
0,47,1,35,0,6,1,124,46,47576,1
0,24,1,50,1,12,0,152,289,48699,0
0,41,1,15,1,6,0,14,221,31409,0
1,76,1,28,0,6,1,13,15,36770,0
1,71,1,28,1,6,0,30,58,46818,0
1,37,1,6,0,6,1,156,147,2630,1
0,25,1,45,0,12,1,160,256,26218,0
0,25,1,35,1,12,0,152,299,46622,0
1,42,1,28,0,6,1,124,158,33667,0
0,60,1,33,0,6,1,124,102,32363,1
1,65,1,28,0,6,1,124,116,41184,0
1,49,1,28,0,6,1,124,177,50791,0
1,23,1,50,1,12,0,152,232,45283,0
1,44,1,28,0,6,1,163,60,41852,0
1,34,1,15,1,6,0,152,180,38111,0
0,21,1,28,1,12,0,152,72,61964,0
0,51,1,28,0,6,1,124,49,38341,1
1,26,1,6,1,12,0,152,57,19135,0
0,25,1,8,1,12,0,152,223,27946,0
1,57,1,11,0,6,1,157,232,25679,1
0,26,1,8,0,12,0,160,136,2630,0
1,79,1,28,0,6,1,26,222,57444,0
0,48,1,28,0,6,1,122,149,36951,0
0,24,1,36,0,12,1,152,49,43129,0
0,32,1,30,1,12,0,152,169,27638,0
1,41,1,36,1,6,0,124,88,30039,0
1,71,1,8,1,6,0,19,253,40903,0
0,25,1,28,1,12,0,152,107,76251,0
1,45,1,8,0,6,1,124,264,42297,0
1,72,1,41,1,6,0,152,233,32210,0
1,30,1,30,0,12,1,124,45,24550,0
0,54,1,28,0,6,0,122,184,38560,0
1,27,1,41,0,12,0,152,251,21078,0
0,38,1,35,1,6,0,152,153,2630,0
0,26,1,30,1,12,0,152,186,31136,0
1,56,1,28,0,6,1,124,71,34617,0
0,29,1,15,1,12,0,152,34,32923,0
1,51,1,26,1,6,0,22,83,33761,0
0,25,1,15,0,12,0,152,12,38667,0
1,48,1,3,0,6,0,124,246,38233,0
0,22,1,50,0,12,0,152,141,15052,0
1,22,1,16,0,12,1,152,216,30673,0
0,49,1,3,1,6,0,152,130,25553,0
1,78,1,41,1,6,0,26,282,49491,0
0,44,1,28,0,6,1,13,73,45415,0
0,20,1,47,0,12,1,160,171,25380,0
1,39,1,28,0,6,1,26,141,57582,0
1,54,1,28,0,6,1,26,283,25205,1
0,62,1,48,0,6,1,15,295,2630,0
1,29,1,3,1,12,0,152,165,35463,0
1,49,1,8,0,6,1,156,30,2630,0
0,20,1,50,0,12,1,160,218,36615,0
0,62,1,28,0,24,1,26,130,33830,0
1,58,1,19,1,6,0,26,141,39661,0
1,39,1,15,0,6,1,124,22,37849,0
0,59,1,30,0,6,1,26,147,34426,0
1,41,1,28,0,6,1,154,36,42268,0
1,60,1,28,0,6,1,124,73,66338,0
1,63,1,28,1,6,0,124,79,61739,0
0,50,1,41,0,6,1,26,81,2630,1
1,44,1,47,0,6,1,16,100,46481,0
0,27,1,11,0,12,1,26,63,34587,0
0,23,1,39,1,12,0,152,242,40372,0
1,50,1,28,1,6,0,26,277,27784,0
1,59,1,23,0,6,0,124,39,27865,0
0,59,1,26,1,6,0,122,136,35649,0
1,67,1,28,1,6,0,122,61,31993,0
0,27,1,33,1,12,0,152,111,35512,0
1,29,1,28,0,6,1,26,167,42567,1
1,77,1,37,1,6,0,124,183,40651,0
1,54,1,26,0,6,1,22,74,35493,0
0,28,1,28,1,12,0,152,235,38529,0
0,39,1,8,1,6,0,152,131,34735,0
0,39,1,5,0,6,1,26,141,31760,0
1,69,1,28,0,6,1,122,158,29802,0
0,21,1,17,0,12,1,160,243,27756,0
0,54,1,47,0,24,1,26,248,32873,0
1,25,1,23,0,12,1,152,58,23537,0
0,23,1,35,1,12,0,160,114,27606,0
0,20,1,36,0,12,1,160,281,46275,1
0,25,1,50,1,12,0,152,62,31556,0
0,26,1,30,1,12,0,152,189,31791,0
1,77,1,28,0,6,1,124,139,36099,0
0,28,1,41,0,6,0,156,138,2630,0
0,23,1,15,0,12,1,152,209,41641,0
0,23,1,30,0,12,0,152,254,26689,0
1,50,1,28,0,6,1,52,291,46995,0
0,62,1,28,0,24,1,155,114,41892,0
0,21,1,2,0,12,1,152,79,34274,0
