WeekOfMonth,WeekOfMonthClaimed,Age,PolicyNumber,RepNumber,Deductible,DriverRating,PoliceReportFiled,WitnessPresent,Year,FraudFound_P
5,1,21,1,12,300,1,No,No,1994,0
3,4,34,2,15,400,4,Yes,No,1994,0
5,2,47,3,7,400,3,No,No,1994,0
2,1,65,4,4,400,2,Yes,No,1994,0
5,2,27,5,3,400,1,No,No,1994,0
4,1,20,6,12,400,3,No,No,1994,0
1,3,36,7,14,400,1,No,No,1994,0
1,4,0,8,1,400,4,No,No,1994,0
4,5,30,9,7,400,4,No,Yes,1994,0
3,3,42,10,7,400,1,No,No,1994,0
2,3,71,11,7,400,3,No,No,1994,0
5,5,52,12,13,400,1,No,No,1994,0
3,3,28,13,11,400,1,No,No,1994,0
5,1,0,14,12,400,3,No,No,1994,0
5,1,61,15,3,400,1,No,No,1994,0
4,5,38,16,16,400,1,No,No,1994,0
4,1,41,17,15,400,4,No,No,1994,0
5,1,28,18,6,400,1,No,No,1994,0
4,5,32,19,6,400,1,No,No,1994,0
4,1,30,20,2,400,2,No,No,1994,0
2,1,40,21,3,400,1,No,No,1994,0
2,2,47,22,13,400,2,No,No,1994,0
3,5,63,23,8,400,3,No,No,1994,0
3,3,31,24,5,400,3,No,No,1994,0
3,3,45,25,12,400,3,Yes,No,1994,0
3,1,60,26,16,400,4,No,No,1994,0
3,4,21,27,1,400,2,No,No,1994,0
3,4,42,28,1,400,3,No,No,1994,0
1,4,0,29,9,400,1,No,No,1994,1
3,4,39,30,12,400,3,No,No,1994,0
2,2,47,31,2,400,1,No,No,1994,0
1,2,0,32,6,400,1,No,No,1994,0
2,2,42,33,2,400,3,No,No,1994,0
4,4,30,34,2,400,4,No,No,1994,0
4,4,42,35,12,400,1,No,No,1994,0
2,2,34,36,5,400,3,No,No,1994,0
2,3,30,37,11,400,4,No,No,1994,0
2,3,27,38,4,400,2,No,No,1994,0
4,4,55,39,12,400,1,No,No,1994,0
4,1,35,40,1,400,3,No,No,1994,0
4,1,35,41,11,400,1,No,No,1994,0
3,4,44,42,15,400,1,No,No,1994,0
1,1,42,43,12,400,4,No,No,1994,0
3,4,41,44,5,400,2,No,No,1994,0
3,4,72,45,16,400,1,No,No,1994,0
