Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
CBH,Travel Agency,Offline,Comprehensive Plan,No,186,MALAYSIA,-29,9.57,F,81
CBH,Travel Agency,Offline,Comprehensive Plan,No,186,MALAYSIA,-29,9.57,F,71
JZI,Airlines,Online,Value Plan,No,66,UNITED STATES,-121,42.35,F,44
JZI,Airlines,Online,Basic Plan,No,1,MALAYSIA,-18,6.3,M,47
KML,Travel Agency,Online,Premier Plan,No,53,NORWAY,-130,49.4,F,48
JZI,Airlines,Online,Basic Plan,No,3,MALAYSIA,-18,6.3,M,47
C2B,Airlines,Online,Bronze Plan,No,12,SINGAPORE,46.15,11.54,F,44
C2B,Airlines,Online,Bronze Plan,No,7,SINGAPORE,17.55,4.39,F,25
C2B,Airlines,Online,Bronze Plan,Yes,12,SINGAPORE,94,23.5,M,34
C2B,Airlines,Online,Silver Plan,No,190,SINGAPORE,294.75,73.69,M,26
C2B,Airlines,Online,Annual Silver Plan,No,364,SINGAPORE,389,97.25,F,30
JWT,Airlines,Online,Value Plan,No,11,INDIA,50,20,M,118
RAB,Airlines,Online,Value Plan,No,4,BRUNEI DARUSSALAM,15,6,M,44
JZI,Airlines,Online,Basic Plan,No,45,AUSTRALIA,26,9.1,M,31
JZI,Airlines,Online,Basic Plan,No,181,INDONESIA,30,10.5,F,48
JZI,Airlines,Online,Basic Plan,No,5,INDONESIA,22,7.7,F,29
JZI,Airlines,Online,Basic Plan,No,22,THAILAND,18,6.3,M,66
JZI,Airlines,Online,Basic Plan,No,76,AUSTRALIA,35,12.25,M,57
JZI,Airlines,Online,Basic Plan,No,41,CHINA,44,15.4,F,37
JZI,Airlines,Online,Basic Plan,No,43,THAILAND,22,7.7,F,34
JZI,Airlines,Online,Basic Plan,No,5,CHINA,22,7.7,M,41
ART,Airlines,Online,24 Protect,No,56,PHILIPPINES,75.96,26.59,F,48
ART,Airlines,Online,24 Protect,No,3,SINGAPORE,12.5,4.38,M,48
ART,Airlines,Online,24 Protect,No,3,MALAYSIA,4.99,1.75,M,48
C2B,Airlines,Online,Bronze Plan,No,20,SINGAPORE,47,11.75,M,30
C2B,Airlines,Online,Bronze Plan,No,29,SINGAPORE,27,6.75,M,30
C2B,Airlines,Online,Bronze Plan,No,164,SINGAPORE,69.55,17.39,M,26
C2B,Airlines,Online,Bronze Plan,No,23,SINGAPORE,30.55,7.64,F,35
C2B,Airlines,Online,Silver Plan,No,13,SINGAPORE,19.5,4.88,M,34
C2B,Airlines,Online,Silver Plan,No,29,SINGAPORE,31.85,7.96,M,45
C2B,Airlines,Online,Gold Plan,No,23,SINGAPORE,77.35,19.34,F,52
JWT,Airlines,Online,Value Plan,No,4,INDIA,62,24.8,F,118
JZI,Airlines,Online,Basic Plan,No,5,HONG KONG,22,7.7,M,67
JZI,Airlines,Online,Basic Plan,No,5,INDONESIA,22,7.7,M,53
JZI,Airlines,Online,Basic Plan,No,6,THAILAND,22,7.7,F,60
JZI,Airlines,Online,Basic Plan,No,2,VIET NAM,18,6.3,F,57
JZI,Airlines,Online,Basic Plan,No,15,CAMBODIA,30,10.5,M,57
JZI,Airlines,Online,Basic Plan,No,90,MALAYSIA,22,7.7,F,57
JZI,Airlines,Online,Basic Plan,No,28,HONG KONG,35,12.25,M,52
JZI,Airlines,Online,Basic Plan,No,21,VIET NAM,22,7.7,M,40
JZI,Airlines,Online,Basic Plan,No,130,INDONESIA,33,11.55,F,38
JZI,Airlines,Online,Basic Plan,No,34,CHINA,22,7.7,F,46
JZI,Airlines,Online,Value Plan,No,49,AUSTRIA,67,23.45,F,49
JZI,Airlines,Online,Value Plan,No,33,AUSTRALIA,92,32.2,M,72
C2B,Airlines,Online,Bronze Plan,No,19,SINGAPORE,17.55,4.39,M,31
C2B,Airlines,Online,Bronze Plan,No,4,SINGAPORE,17.55,4.39,M,35
C2B,Airlines,Online,Bronze Plan,No,9,SINGAPORE,17.55,4.39,F,26
C2B,Airlines,Online,Bronze Plan,No,28,SINGAPORE,17.55,4.39,M,33
C2B,Airlines,Online,Bronze Plan,No,18,SINGAPORE,0,7.47,M,45
C2B,Airlines,Online,Bronze Plan,No,18,SINGAPORE,38.35,9.59,F,34
C2B,Airlines,Online,Bronze Plan,No,55,SINGAPORE,94,23.5,M,30
C2B,Airlines,Online,Bronze Plan,No,32,SINGAPORE,44.85,11.21,F,27
C2B,Airlines,Online,Silver Plan,No,13,SINGAPORE,62.25,15.56,M,27
C2B,Airlines,Online,Silver Plan,No,13,SINGAPORE,81.75,20.44,M,30
C2B,Airlines,Online,Silver Plan,No,12,SINGAPORE,62.25,15.56,M,29
C2B,Airlines,Online,Silver Plan,Yes,10,SINGAPORE,43.55,10.89,M,45
C2B,Airlines,Online,Silver Plan,No,10,SINGAPORE,43.55,10.89,F,46
C2B,Airlines,Online,Silver Plan,No,34,SINGAPORE,109,27.25,F,27
C2B,Airlines,Online,Annual Silver Plan,No,388,SINGAPORE,252.85,63.21,F,29
C2B,Airlines,Online,Annual Silver Plan,No,388,SINGAPORE,260.63,65.16,F,30
C2B,Airlines,Online,Annual Silver Plan,No,369,SINGAPORE,260.63,65.16,F,47
C2B,Airlines,Online,Annual Silver Plan,No,368,SINGAPORE,252.85,63.21,M,30
JWT,Airlines,Online,Value Plan,No,16,INDIA,50,20,M,118
JZI,Airlines,Online,Basic Plan,No,4,MYANMAR,18,6.3,F,29
JZI,Airlines,Online,Basic Plan,No,54,HONG KONG,26,9.1,M,40
JZI,Airlines,Online,Basic Plan,No,3,MALAYSIA,18,6.3,M,33
JZI,Airlines,Online,Basic Plan,No,5,MALAYSIA,18,6.3,M,40
JZI,Airlines,Online,Basic Plan,No,104,JAPAN,35,12.25,M,38
JZI,Airlines,Online,Basic Plan,No,10,THAILAND,22,7.7,M,42
JZI,Airlines,Online,Basic Plan,No,24,INDIA,35,12.25,M,53
JZI,Airlines,Online,Basic Plan,No,10,THAILAND,22,7.7,F,45
JZI,Airlines,Online,Basic Plan,No,48,INDIA,50,17.5,M,53
JZI,Airlines,Online,Basic Plan,No,6,THAILAND,18,6.3,M,49
JZI,Airlines,Online,Basic Plan,No,7,"TAIWAN, PROVINCE OF CHINA",26,9.1,M,47
JZI,Airlines,Online,Basic Plan,No,20,SRI LANKA,26,9.1,M,45
JZI,Airlines,Online,Basic Plan,No,6,CHINA,26,9.1,F,47
JZI,Airlines,Online,Basic Plan,No,15,THAILAND,22,7.7,M,49
JZI,Airlines,Online,Basic Plan,No,4,THAILAND,18,6.3,M,55
JZI,Airlines,Online,Basic Plan,No,48,JAPAN,26,9.1,F,32
JZI,Airlines,Online,Basic Plan,No,14,THAILAND,22,7.7,F,70
JZI,Airlines,Online,Basic Plan,No,14,MYANMAR,33,11.55,M,34
JZI,Airlines,Online,Basic Plan,No,42,CHINA,63,22.05,M,48
JZI,Airlines,Online,Basic Plan,No,13,THAILAND,22,7.7,M,68
JZI,Airlines,Online,Value Plan,No,131,UNITED KINGDOM,125,43.75,F,31
JZI,Airlines,Online,Value Plan,No,36,UNITED KINGDOM,87,30.45,M,51
JZI,Airlines,Online,Value Plan,No,202,FRANCE,149,52.15,M,38
JZI,Airlines,Online,Value Plan,No,42,CHINA,92,32.2,F,53
JZI,Airlines,Online,Value Plan,No,11,GERMANY,87,30.45,M,49
JZI,Airlines,Online,Value Plan,No,10,CHINA,45,15.75,M,50
CSR,Travel Agency,Offline,Comprehensive Plan,No,92,MALAYSIA,29,9.57,F,72
CSR,Travel Agency,Offline,Comprehensive Plan,No,92,MALAYSIA,29,9.57,F,77
CCR,Travel Agency,Offline,Comprehensive Plan,No,5,MALAYSIA,29,9.57,M,118
CCR,Travel Agency,Offline,Comprehensive Plan,No,5,MALAYSIA,29,9.57,F,118
CCR,Travel Agency,Offline,Comprehensive Plan,No,5,MALAYSIA,29,9.57,M,118
CBH,Travel Agency,Offline,Comprehensive Plan,No,36,THAILAND,29,9.57,M,63
ART,Airlines,Online,24 Protect,No,2,PHILIPPINES,7.44,2.6,M,48
ART,Airlines,Online,24 Protect,No,2,THAILAND,9.48,3.32,M,48
C2B,Airlines,Online,Bronze Plan,No,10,SINGAPORE,38.35,9.59,F,71
C2B,Airlines,Online,Bronze Plan,No,17,SINGAPORE,38.35,9.59,M,45
C2B,Airlines,Online,Bronze Plan,No,32,SINGAPORE,22.1,5.53,M,28
C2B,Airlines,Online,Bronze Plan,No,32,SINGAPORE,38.35,9.59,F,26
C2B,Airlines,Online,Bronze Plan,No,4,SINGAPORE,17.55,4.39,F,22
C2B,Airlines,Online,Bronze Plan,No,7,SINGAPORE,17.25,4.31,F,60
C2B,Airlines,Online,Bronze Plan,No,179,SINGAPORE,682,170.5,M,25
C2B,Airlines,Online,Bronze Plan,No,33,SINGAPORE,17.25,4.31,F,30
C2B,Airlines,Online,Bronze Plan,No,5,SINGAPORE,17.55,4.39,M,25
C2B,Airlines,Online,Bronze Plan,No,31,SINGAPORE,38.35,9.59,F,56
C2B,Airlines,Online,Silver Plan,No,18,SINGAPORE,71,17.75,M,42
C2B,Airlines,Online,Silver Plan,Yes,11,SINGAPORE,62.25,15.56,M,33
C2B,Airlines,Online,Silver Plan,No,47,SINGAPORE,70.85,17.71,F,39
C2B,Airlines,Online,Silver Plan,No,61,SINGAPORE,25.9,6.47,M,37
C2B,Airlines,Online,Silver Plan,No,5,SINGAPORE,25.9,6.47,M,42
C2B,Airlines,Online,Gold Plan,No,26,SINGAPORE,119,29.75,M,48
C2B,Airlines,Online,Annual Silver Plan,Yes,365,SINGAPORE,187.85,46.96,M,32
C2B,Airlines,Online,Annual Silver Plan,No,374,SINGAPORE,252.85,63.21,F,42
C2B,Airlines,Online,Annual Silver Plan,No,386,SINGAPORE,252.85,63.21,F,33
C2B,Airlines,Online,Annual Gold Plan,No,369,SINGAPORE,389.35,97.34,M,42
JWT,Airlines,Online,Value Plan,No,10,INDIA,31,12.4,M,118
JWT,Airlines,Online,Value Plan,No,18,INDIA,0,28.8,M,118
JWT,Airlines,Online,Value Plan,No,7,INDIA,62,24.8,M,118
JWT,Airlines,Online,Value Plan,No,12,INDIA,60,24,M,118
