GENDER,INSURED_VALUE,PREMIUM,PROD_YEAR,SEATS_NUM
0,200000,3452.65,1982,10
0,200000,3077.54,1982,10
0,200000,111.22,1982,10
1,152038,3747.89,2004,5
0,400000,6258.45,2005,4
0,37500,1251.8,1991,4
0,37500,599,1991,4
0,164516,2900.09,1993,5
0,164516,1898.492,1993,5
0,242209,4023.08,1995,12
0,242209,4778.29,1995,12
0,242209,2685.03,1995,12
0,473778,8189.35,2000,7
0,473778,4619.345,2000,7
0,438578,6428.19,1999,10
0,438578,7795.68,1999,10
0,438578,4489.221,1999,10
0,123208,2472.9,1997,9
0,123208,2857.06,1997,9
0,123208,1731.12,1997,9
0,242209,3889.98,1995,10
0,242209,4645.19,1995,10
0,242209,2653.328,1995,10
0,438578,6428.19,1999,10
0,438578,7800.68,1999,10
0,438578,4489.221,1999,10
0,438578,6406.19,2000,9
0,438578,7778.68,2000,9
0,440795.58,6499.85,2002,12
0,440795.58,7874.25,2002,12
0,440795.58,4411.8,2002,12
0,440795.58,5157.23,2000,5
0,442674.87,6457.29,2003,9
0,442674.87,7837.55,2003,9
0,800000,7323.16,1991,4
0,800000,6807.12,1991,4
0,1730000,14875.81,1991,4
0,1730000,14457.901,1991,4
0,214174.05,3319.23,2006,4
0,214174.05,3103.985,2006,4
0,710000,6658.26,1991,7
0,710000,6174.351,1991,7
0,1154342.23,10288.82,1991,8
0,1154342.23,9782.911,1991,8
0,425000,4193.63,1991,4
0,425000,3810.75,1991,4
0,220000,2434.7,1991,4
0,220000,2434.7,1991,4
0,220000,2096.86,1991,4
0,225000,2475.31,1991,4
0,225000,2137.47,1991,4
0,225000,2480.31,1991,4
0,225000,2142.47,1991,4
0,356108.72,5035.09,1995,9
0,356108.72,5080.64,1995,9
0,356108.72,5058.168,1995,9
0,216940.72,3805.99,2006,5
0,216940.72,2517.515,2006,5
0,382500,5241.49,1999,7
0,382500,5375.62,1999,7
0,382500,6547.332,1999,7
0,178500,2990.88,1998,5
0,178500,2807.475,1998,5
0,23883.16,631.7,2002,2
0,23883.16,657.62,2002,2
0,23883.16,622.979,2002,2
0,60000,1418.37,1984,5
0,60000,1418.37,1984,5
0,55000,924.168,1984,5
0,380000,5409.41,2007,5
1,190548.3,2434.07,1991,4
1,190548.3,2450.24,1991,4
1,190548.3,2400.6,1991,4
0,317794.96,4788.69,2009,8
0,317794.96,4651.793,2009,8
0,317794.96,205.46,2009,8
1,140000,1979.4,1986,4
1,140000,1650.52,1986,4
0,250000,4912.2,1991,5
0,250000,4969.4,1991,5
0,250000,5253.8,1991,5
1,140000,4140.55,1985,4
1,140000,4634.93,1985,4
0,675000,9310.85,1990,7
1,610103.85,6625.19,1993,4
1,762559.2,8769.08,1993,4
1,610103.85,7380.053,1993,4
0,22174.29,587.14,2005,1
0,22174.29,570.9,2005,1
0,22174.29,338.4,2005,1
0,215201.18,3326.51,2003,5
0,215201.18,3380.66,2003,5
0,215201.18,3315.722,2003,5
0,120000,3889.37,1986,4
0,120000,4073.5,1986,4
0,120000,4292.62,1986,4
0,268000,3775.27,2005,4
0,268000,3862.71,2005,4
0,268000,4192.054,2005,4
0,280000,4201.28,1982,9
0,280000,4614.41,1982,9
0,280000,4392.239,1982,9
0,510000,7784.66,2003,10
0,510000,8090.5,2003,10
0,510000,8230.306,2003,10
1,200000,3183.93,1989,4
1,100000,1909.42,1989,4
1,110000,1397.5,1989,4
0,450000,6558.65,1996,9
0,450000,6558.65,1996,9
0,184437,3025.23,1996,9
0,184437,156.04,1996,9
0,75000,63.45,1988,0
0,75000,63.45,1985,0
0,75000,63.45,1985,0
0,1700000,22138.65,2009,9
0,1700000,22138.65,2009,9
0,2200000,26097.19,2009,9
0,2200000,1861.26,2009,9
1,300000,4004.7,2009,4
0,383200,3818.43,2008,5
0,383200,4083.058,2008,5
0,200000,3164.45,1988,5
0,200000,3164.45,1988,5
0,165000,2019.898,1988,5
0,915000,12326.13,2000,8
0,915000,12326.13,2000,8
0,915000,9495.818,2000,8
0,110000,2041.97,1984,5
0,110000,2041.97,1984,5
0,156839.36,1938.608,1984,5
0,250000,3987.15,1984,10
0,250000,3987.15,1984,10
0,48100,804.563,1984,10
0,56787.16,1556.5,1988,9
0,56787.16,1556.5,1988,9
0,56787.16,565.67,1988,9
0,300000,4521.65,1990,10
0,300000,4521.65,1990,10
0,48100,919.018,1990,10
0,180000,3004.11,1990,5
0,180000,3004.11,1990,5
0,49566.29,493.74,1990,5
0,280000,4428.41,1988,9
0,280000,4428.41,1988,9
0,250000,3921.15,1990,5
0,250000,3921.15,1990,5
0,49556.29,493.64,1990,5
0,400000,5835.95,1990,7
0,400000,5835.95,1990,7
0,110000,2041.97,1984,5
0,110000,2041.97,1984,5
0,156839.36,1938.608,1984,5
0,110000,2041.97,1984,5
0,156839.36,1938.608,1984,5
0,200000,3164.45,1988,5
0,200000,3174.45,1988,5
0,165000,2019.898,1988,5
0,160000,2665.57,1984,5
0,160000,2665.57,1984,5
0,80000,1173.198,1984,5
0,200000,3164.45,1988,5
0,200000,3164.45,1988,5
0,165000,2019.898,1988,5
0,200000,3169.45,1988,5
0,200000,3169.45,1988,5
0,165000,2019.898,1988,5
0,200000,3164.45,1988,5
0,200000,3164.45,1988,5
0,165000,2019.898,1988,5
0,200000,3164.45,1988,5
0,200000,3164.45,1988,5
0,200000,3164.45,1988,5
0,165000,1643.6,1988,5
0,400000,5884.95,1990,9
0,400000,5879.95,1990,9
0,590000,6253.418,1990,9
0,200000,3164.45,1988,5
0,150000,1710,1988,5
0,165000,1643.6,1988,5
0,200000,3164.45,1988,5
0,200000,3164.45,1988,5
0,165000,2024.898,1988,5
0,320000,3629.13,2006,5
0,320000,3585.13,2006,5
0,320000,3376.001,2006,5
0,200000,3023.38,1990,6
0,200000,2585.7,1990,6
0,64818,1415.33,1988,8
0,64818,1415.08,1988,8
0,64818,1027.053,1988,8
0,45000,1253.29,1985,4
0,45000,1253.29,1985,4
0,45000,1128.718,1985,4
1,80000,2205.35,1982,4
1,300000,3445.089,2002,4
0,200000,3361.1,1987,4
0,200000,3431.08,1987,4
0,200000,3391.9,1987,4
1,350000,4821.9,2003,4
1,350000,4920.028,2003,4
1,350000,5169.653,2003,4
0,1910000.01,16384.46,2008,7
0,1910000.01,17495.8,2008,7
0,930000,7021.86,2002,4
0,350000,4346.83,2002,4
0,350000,4484.26,2002,4
0,700000,9644.65,2007,8
0,700000,9644.65,2007,8
0,500000,312.89,2007,8
0,131664,2044.36,2003,3
0,131664,2208.6,2003,3
0,131664,2084.65,2003,3
0,160435.7,2555.88,2000,4
0,160435.7,2809.35,2000,4
0,160435.7,2662.32,2000,4
0,160435.7,2091.48,2001,4
0,160435.7,2177.78,2001,4
0,160435.7,2056,2001,4
0,177554,2646.01,2006,4
0,177554,1151.43,2006,4
0,177554,3093.11,2006,4
0,177554,2903.56,2006,4
0,240299.62,4013.18,2004,4
0,240299.62,1577.85,2004,4
0,240299.62,4500.07,2004,4
0,240299.62,4343.1,2004,4
0,245078.55,4321.73,2004,4
0,245078.55,1650.76,2004,4
0,245078.55,3931,2004,4
0,420000,6108.49,1992,6
0,420000,6108.49,1992,6
0,420000,346.69,1992,6
0,84000,1828.8,1992,4
0,84000,1828.8,1992,4
0,84000,1828.55,1992,4
0,84000,69.34,1992,4
0,40000,1146.93,1983,4
0,40000,1146.93,1983,4
0,40000,1146.68,1983,4
0,40000,33.02,1983,4
1,200000,3159.35,2002,4
1,200000,3206,2002,4
1,200000,3107.045,2002,4
0,120000,2166.69,1990,5
0,120000,2166.69,1990,5
0,36217,1067.37,1990,5
0,100000,1684.8,1993,4
0,200000,2935.96,1993,4
0,200000,2287.91,1993,4
0,171000,2544.874,2002,4
0,171000,95.09,2002,4
0,2100000,27083.45,2010,7
0,537436,7595.15,2010,7
0,537436,7230.096,2010,7
1,1000000,11580.54,2004,4
1,830000,10593.28,2004,4
1,830000,14383.3,2004,4
0,940000,12615.93,2009,4
0,470000,6754.09,2009,4
0,470000,6389.036,2009,4
0,500000,12428.37,1998,5
0,414628.98,6475.3,2008,4
0,414628.98,5824.3,2008,4
0,414628.98,266.54,2008,4
0,118379,2780.47,1998,4
0,118379,2124.47,1998,4
0,118379,1976.127,1998,4
0,118379,74.67,1998,4
0,210000,3267.17,2001,4
0,210000,3118.827,2001,4
0,210000,132.47,2001,4
0,289348.5,4912.8,2010,4
0,289348.5,4256.8,2010,4
0,289348.5,182.52,2010,4
1,127000,3242.67,1989,4
1,127000,3546.797,1989,4
1,95000,2128.97,1989,4
1,95000,2272.79,1989,4
1,95000,2246.2,1989,4
1,73000,1440.02,1989,4
0,15383,691.41,2006,1
0,15383,678.78,2006,1
0,22837,330.41,2010,1
0,22837,640.1,2010,1
0,6000,330.41,2010,1
0,6000,376.31,2010,1
0,6000,330.41,2010,1
0,6000,376.31,2010,1
0,22837,330.41,2010,1
0,6000,376.31,2010,1
0,6000,330.41,2010,1
0,22837,640.1,2010,1
0,22837,330.41,2010,1
0,60036.96,1099.61,2010,1
0,22837,640.1,2010,1
0,60036.96,1025.07,2010,1
0,60036.96,1228.746,2010,1
0,22837,330.41,2010,1
0,22837,640.1,2010,1
0,13600,330.41,2010,1
0,20000,595.65,2010,1
0,6000,330.41,2010,1
0,6000,376.31,2010,1
0,22837,330.41,2010,1
0,22837,640.1,2010,1
0,13600,330.41,2010,1
0,30000,752.33,2010,1
0,20000,330.41,2010,1
0,20000,595.65,2010,1
0,20542,599.77,2010,1
1,200000,4683.25,1986,4
1,200000,4757.11,1986,4
1,200000,4690.322,1986,4
1,225000,3127.76,2000,4
1,225000,2979.2,2000,4
1,225000,3037.32,2000,4
0,318056.32,4000.85,2009,8
0,318056.32,4446.76,2009,8
0,318056.32,5120.62,2009,8
0,318056.32,4000.85,2009,6
0,318056.32,4436.76,2009,6
0,318056.32,5120.62,2009,6
0,318056.32,4000.85,2009,6
0,318056.32,4436.76,2009,6
0,318056.32,5120.62,2009,6
0,318056.32,4000.85,2008,6
0,318056.32,5120.62,2008,6
0,318101.53,4615.41,2009,6
0,318101.53,4620.41,2009,6
0,318101.53,164.48,2009,6
0,166986.05,2730.7,2009,4
0,166986.05,2730.7,2009,4
0,166986.05,2279.079,2009,4
0,166986.05,91.34,2009,4
0,750000,10224,1998,6
0,750000,4624.95,1998,6
0,652991,509.27,1998,6
1,300000,5000.3,1991,8
1,300000,4895.4,1991,8
1,187000,3703.34,1991,8
0,165000,2727.64,2008,4
0,165000,2732.64,2008,4
0,165000,3128.5,2008,4
0,141472.66,2868.58,1998,4
0,141472.66,3015.69,1998,4
0,141472.66,3368.401,1998,4
0,625134,6752.37,2011,8
0,625134,8040.227,2011,8
0,940000,12615.93,2009,7
0,470000,6754.09,2009,7
0,470000,6389.036,2009,7
0,470000,6754.09,2009,7
0,940000,12593.93,2009,6
0,470000,6732.09,2009,6
0,470000,6376.067,2009,6
1,250000,3538.18,1992,4
1,154927.09,2219.956,1992,4
1,385000,6873.01,1995,6
1,385000,6845.59,1995,6
1,88152,2103.59,1994,0
1,88152,2213.23,1994,0
1,130000,2823.17,1985,4
1,130000,2890.341,1985,4
1,184903.46,3415.78,2016,4
1,184903.46,3671.16,2016,4
1,184903.46,3481.71,2016,4
0,940000,12615.93,2009,7
0,470000,6754.09,2009,7
0,470000,6389.036,2009,7
1,200000,2233.56,1990,4
1,200000,2139.03,1990,4
0,940000,12615.93,2009,7
0,470000,6754.09,2009,7
0,230000,3395.756,2009,7
