Customer_ID,Gender,Age,Annual_Income,Policy_Type,Claim_Amount,Claim_date,Study
101,Male,25,50000,Life,2000,15/1/2022,high-school
102,Female,30,60000,Health,0,20/2/2022,college
103,Female,45,no income,Auto,1500,1/3/2022,masters
104,Male,50,120000,Home,0,,doctorate
105,Female,,70000,Life,7000,5/4/2022,illiterate
106,Male,60,80000,,5000,10/5/2022,professor
107,,122,900000,Health,0,15/6/2022,professor
108,Female,35,65000,Auto,3000,1/7/2022,university
108,Female,35,65000,Auto,3000,1/7/2022,university
110,Male,29,72000,Home,,20/8/2022,college
101,Male,25,50000,Life,2000,15/1/2022,high-school
102,Female,30,60000,Health,0,20/2/2022,college
103,Female,45,no income,Auto,1500,1/3/2022,masters
104,Male,50,120000,Home,0,,doctorate
105,Female,,70000,Life,7000,5/4/2022,illiterate
106,Male,60,80000,,5000,10/5/2022,professor
107,,121,900000,Health,,15/6/2022,professor
108,Female,35,65000,Auto,3000,1/7/2022,university
108,Female,35,65000,Auto,3000,1/7/2022,university
110,Male,2,72000,Home,,20/8/2022,mid-school
101,Male,25,50000,Life,2000,15/1/2022,high-school
102,Female,30,60000,Health,,20/2/2022,college
103,Female,45,no income,Auto,1500,1/3/2022,masters
104,Male,50,120000,Home,,,doctorate
105,Female,,70000,Life,7000,5/4/2022,illiterate
106,Male,60,80000,,5000,10/5/2022,professor
107,,100,900000,Health,,15/6/2022,professor
108,Female,1,65000,Auto,3000,1/7/2022,illiterate
108,Female,35,65000,Auto,3000,1/7/2022,university
110,Male,29,72000,Home,,20/8/2022,college
101,Male,25,50000,Life,2000,15/1/2022,high-school
102,Female,30,60000,Health,0,20/2/2022,college
103,Female,45,no income,Auto,1500,1/3/2022,masters
104,Male,50,120000,Home,0,,doctorate
105,Female,,70000,Life,7000,5/4/2022,illiterate
106,Male,60,80000,,5000,10/5/2022,professor
107,,100,900000,Health,,15/6/2022,professor
108,Female,35,65000,Auto,3000,1/7/2022,university
108,Female,35,65000,Auto,3000,1/7/2022,university
110,Male,29,72000,Home,,20/8/2022,college
101,Male,25,50000,Life,2000,15/1/2022,high-school
102,Female,30,60000,Health,0,20/2/2022,college
103,Female,45,no income,Auto,1500,1/3/2022,masters
104,Male,50,120000,Home,0,,doctorate
105,Female,,70000,Life,7000,5/4/2022,illiterate
106,Male,60,80000,,5000,10/5/2022,professor
107,,100,900000,Health,,15/6/2022,professor
108,Female,35,65000,Auto,3000,1/7/2022,university
108,Female,35,65000,Auto,3000,1/7/2022,university
110,Male,29,72000,Home,,20/8/2022,college
101,Male,25,50000,Life,2000,15/1/2022,high-school
102,Female,30,60000,Health,0,20/2/2022,college
103,Female,45,no income,Auto,1500,1/3/2022,masters
104,Male,50,120000,Home,0,,doctorate
105,Female,,70000,Life,7000,5/4/2022,illiterate
106,Male,60,80000,,5000,10/5/2022,professor
107,,100,900000,Health,,15/6/2022,professor
108,Female,35,65000,Auto,3000,1/7/2022,university
108,Female,35,65000,Auto,3000,1/7/2022,university
110,Male,29,72000,Home,,20/8/2022,college
101,Male,25,50000,Life,200,15/1/2022,high-school
102,Female,30,60000,Health,0,20/2/2022,college
103,Female,45,,Auto,1500,1/3/2022,masters
104,Male,50,120000,Home,0,,doctorate
105,Female,,70000,Life,7000,5/4/2022,illiterate
106,Male,60,80000,,5000,10/5/2022,professor
107,,3,900000,Health,,15/6/2022,mid-school
108,Female,35,65000,Auto,3000,1/7/2022,university
108,Female,35,65000,Auto,3000,1/7/2022,university
110,Male,29,72000,Home,,20/8/2022,college
101,Male,25,50000,Life,2000,15/1/2022,high-school
102,Female,30,60000,Health,0,20/2/2022,college
103,Female,45,no income,Auto,1500,1/3/2022,masters
104,Male,50,120000,Home,0,,doctorate
105,Female,,70000,Life,7000,5/4/2022,illiterate
106,Male,60,80000,,5000,10/5/2022,professor
107,,3,900000,Health,,15/6/2022,mid-school
108,Female,35,65000,Auto,3000,1/7/2022,university
108,Female,35,65000,Auto,3000,1/7/2022,university
110,Male,29,72000,Home,,20/8/2022,college
101,Male,25,50000,Life,2000,15/1/2022,high-school
102,Female,30,60000,Health,,20/2/2022,college
103,Female,45,no income,Auto,1500,1/3/2022,masters
104,Male,50,120000,Home,,,doctorate
105,Female,,70000,Life,7000,5/4/2022,illiterate
106,Male,60,80000,,5000,10/5/2022,professor
107,,4,900000,Health,,15/6/2022,mid-school
108,Female,35,65000,Auto,3000,1/7/2022,university
108,Female,35,65000,Auto,3000,1/7/2022,university
110,Male,29,72000,Home,,20/8/2022,college
101,Male,25,50000,Life,2000,15/1/2022,high-school
102,Female,30,60000,Health,,20/2/2022,college
103,Female,45,no income,Auto,,1/3/2022,masters
104,Male,50,120000,Home,,,doctorate
105,Female,,70000,Life,7000,5/4/2022,illiterate
106,Male,60,80000,,5000,10/5/2022,professor
107,,2,900000,Health,,15/6/2022,mid-school
108,Female,35,65000,Auto,3000,1/7/2022,university
108,Female,35,65000,Auto,3000,1/7/2022,university
110,Male,29,72000,Home,,20/8/2022,college
